Category Code,Product Code,Name,Description,Scan Identifier,Requires Customization,Length (mm),Width (mm),Height (mm),Weight (gms),EAN,UPC,ISBN,Color,Size,Brand,Item Detail Fields,Tags,Image Url,Product Page Url,Tax Type Code,Base Price,Cost Price,MRP,Updated,Category Name,Enabled,Type,TAT,Component Product Code,Component Quantity,Component Price,Virtual Inventory
VK_AU,VKAMCOVER0005,Autofy Grey Universal Motorcycle Bike Body Cover with Mirror Pockets [175],,B01N56XE3Q,FALSE,1,1,1,1,1,SDL556767228,Autofy - India,Dummy Red,India,Autofy,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMCOVER0005/MAIN.jpg,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMCOVER0005/,,,,849,01/02/2017 17:09,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
VK_AU,VKAMCOVER0006,Autofy Camouflage Army Color Shade Universal Motorcycle Bike Body Cover with Mirror Pockets,B01MRP03QT,B01MRP03QT,FALSE,1,1,1,1,1,SDL288462807,Autofy - India,Dummy Red,India,Autofy,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMCOVER0006/MAIN.jpg,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMCOVER0006/,,,,999,04/01/2017 19:10,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
VK_AU,VKAMHORN0005,Autofy Universal Mocc Horn for All Bikes and Cars (Set of 2),B01MXXRTU7,B01MXXRTU7,FALSE,1,1,1,1,Set of 2,SDL525615291,Racing-China,white,China,Autofy,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/vkamhorn0005/Main.jpg,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMHORN0005/,DEFAULT,,,999,28/02/2017 10:42,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
VK_AU,VKAMROD0001,Autofy Black Aluminum Universal Rod with Chrome Cap for All Bikes (Big),B01M4LSMES,B01M4LSMES,FALSE,1,1,1,1,1,,Autofy-India,Black with Chrome Cap,India,Autofy,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMROD0001/1.jpg,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMROD0001/,,,,999,06/01/2017 11:31,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
VK_AU,VKAMBRUSH0001,Autofy Universal Motorcycle / Cycle Chain Cleaner Brush (for All Bikes),B01MF9TJ83,B01MF9TJ83,FALSE,1,1,1,1,1,,Autofy - India,Blue,India,Autofy,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMBRUSH0001/MAIN.jpg,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMBRUSH0001/,DEFAULT,,,699,06/02/2017 13:58,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
VK_AU,VKAMLIGHT0043,Autofy U2 Universal Fog Projector Light for All Bikes (Black),1 Fog Light,B01M276KOA,FALSE,200,140,110,400,1,,China Racing,Black,China,Autofy,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMLIGHT0043/MAIN.jpg,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMLIGHT0043/,DEFAULT,,,999,28/03/2017 0:03,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
VK_AU,VKAMEXHAUST0001,Autofy Wild Bore Chrome Silencer / Exhaust / Muffler for Royal Enfield Bullet Standard  Royal Enfield Bullet Classic  Royal Enfield Bullet Electra  Royal Enfield Thunderbird (with Glasswool),B01M9DNF21,B01M9DNF21,FALSE,1,1,1,1,1,SDL594849307,Autofy - India,Chrome,India,Autofy,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMEXHAUST0001/MAIN.jpg,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMEXHAUST0001/,,,,4999,11/01/2017 18:26,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
VK_AU,VKAMEXHAUST0002,Autofy Wild Bore Matte Black Silencer / Exhaust / Muffler for Royal Enfield Bullet Standard  Royal Enfield Bullet Classic  Royal Enfield Bullet Electra  Royal Enfield Thunderbird (with Glasswool),,B01MDOZ8JL,FALSE,1,1,1,1,1,SDL057738326,Autofy - India,Dummy Red,India,Autofy,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMEXHAUST0002/MAIN.jpg,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMEXHAUST0002/,,,,4999,01/02/2017 14:39,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
VK_AU,VKAMEXHAUST0003,Autofy Shark Matte Black Silencer / Exhaust / Muffler for Royal Enfield Bullet Standard  Royal Enfield Bullet Classic  Royal Enfield Bullet Electra  Royal Enfield Thunderbird (with Glasswool),B01MA6HIV5,B01MA6HIV5,FALSE,1,1,1,1,1,SDL471980685,Autofy - India,MATTA BLACK,India,Autofy,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMEXHAUST0003/MAIN.jpg,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMEXHAUST0003/,,,,5199,12/01/2017 23:34,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
VK_AU,VKAMEXHAUST0004,Autofy Shark Chrome Silencer / Exhaust / Muffler for Royal Enfield Bullet Standard  Royal Enfield Bullet Classic  Royal Enfield Bullet Electra  Royal Enfield Thunderbird (with Glasswool),,B01M276N83,FALSE,1,1,1,1,1,SDL652255628,Autofy - India,Chrome,India,Autofy,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMEXHAUST0004/MAIN.jpg,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMEXHAUST0004/,,,,5199,21/01/2017 12:49,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
